Chemical_Shift,Count
-15.8,1
-13.3,5
-12.2,1
-8.7,1
-7.9,1
-6.3,4
-5.7,1
-5.4,2
-5.3,1
-5.2,8
-5.1,1
-5.0,2
-4.9,1
-2.0,1
-1.8,1
-1.6,4
-1.3,2
-1.2,1
-1.1,1
-0.8,2
-0.7,2
-0.5,1
-0.4,1
-0.3,1
-0.1,1
0.0,3
0.1,1
0.3,5
0.4,3
0.5,1
0.6,1
0.8,3
0.9,2
1.0,4
1.1,11
1.2,6
1.3,12
1.4,1
1.6,1
1.7,3
1.8,1
1.9,1
2.0,3
2.1,2
2.2,2
2.3,2
2.4,9
2.5,5
2.6,8
2.7,4
2.8,7
2.9,8
3.0,9
3.1,12
3.2,29
3.3,21
3.4,32
3.5,35
3.6,19
3.7,48
3.8,13
3.9,21
4.0,15
4.1,39
4.2,57
4.3,137
4.4,45
4.5,52
4.6,28
4.7,32
4.8,31
4.9,24
5.0,23
5.1,57
5.2,85
5.3,37
5.4,58
5.5,55
5.6,32
5.7,21
5.8,24
5.9,12
6.0,32
6.1,27
6.2,25
6.3,32
6.4,49
6.5,62
6.6,63
6.7,48
6.8,72
6.9,65
7.0,33
7.1,30
7.2,40
7.3,96
7.4,136
7.5,103
7.6,96
7.7,120
7.8,159
7.9,144
8.0,215
8.1,203
8.2,222
8.3,258
8.4,288
8.5,166
8.6,223
8.7,177
8.8,207
8.9,146
9.0,137
9.1,133
9.2,161
9.3,168
9.4,138
9.5,173
9.6,140
9.7,191
9.8,156
9.9,173
10.0,223
10.1,177
10.2,189
10.3,152
10.4,365
10.5,318
10.6,269
10.7,335
10.8,227
10.9,228
11.0,206
11.1,210
11.2,302
11.3,358
11.4,411
11.5,478
11.6,378
11.7,297
11.8,339
11.9,459
12.0,381
12.1,305
12.2,312
12.3,313
12.4,315
12.5,378
12.6,487
12.7,344
12.8,298
12.9,298
13.0,418
13.1,600
13.2,466
13.3,410
13.4,483
13.5,481
13.6,728
13.7,824
13.8,1341
13.9,1363
14.0,2235
14.1,4515
14.2,2710
14.3,2491
14.4,1186
14.5,981
14.6,646
14.7,1024
14.8,922
14.9,607
15.0,615
15.1,642
15.2,948
15.3,701
15.4,561
15.5,786
15.6,561
15.7,423
15.8,403
15.9,512
16.0,675
16.1,465
16.2,616
16.3,669
16.4,583
16.5,482
16.6,460
16.7,595
16.8,462
16.9,389
17.0,369
17.1,394
17.2,414
17.3,496
17.4,447
17.5,486
17.6,540
17.7,568
17.8,578
17.9,557
18.0,775
18.1,778
18.2,712
18.3,676
18.4,664
18.5,588
18.6,566
18.7,578
18.8,586
18.9,602
19.0,513
19.1,626
19.2,693
19.3,806
19.4,580
19.5,705
19.6,694
19.7,677
19.8,855
19.9,800
20.0,653
20.1,813
20.2,873
20.3,876
20.4,924
20.5,911
20.6,910
20.7,1116
20.8,1102
20.9,1130
21.0,1288
21.1,1414
21.2,939
21.3,1010
21.4,1087
21.5,860
21.6,937
21.7,815
21.8,852
21.9,800
22.0,964
22.1,1041
22.2,936
22.3,1072
22.4,1213
22.5,1517
22.6,1500
22.7,2216
22.8,1505
22.9,1265
23.0,1283
23.1,1243
23.2,1006
23.3,879
23.4,1113
23.5,975
23.6,1004
23.7,1018
23.8,1109
23.9,1560
24.0,1156
24.1,1093
24.2,906
24.3,832
24.4,835
24.5,876
24.6,1159
24.7,918
24.8,967
24.9,906
25.0,1354
25.1,1282
25.2,1007
25.3,1134
25.4,1020
25.5,1319
25.6,1078
25.7,1164
25.8,1163
25.9,969
26.0,1166
26.1,1157
26.2,1281
26.3,1417
26.4,1421
26.5,1364
26.6,1180
26.7,1183
26.8,1130
26.9,1043
27.0,960
27.1,980
27.2,1044
27.3,1097
27.4,1134
27.5,1042
27.6,1154
27.7,1162
27.8,1422
27.9,1548
28.0,1273
28.1,1194
28.2,1660
28.3,2125
28.4,1496
28.5,1232
28.6,1292
28.7,1328
28.8,1342
28.9,1540
29.0,1403
29.1,1475
29.2,1492
29.3,1831
29.4,1953
29.5,1804
29.6,1752
29.7,1578
29.8,1478
29.9,1250
30.0,1324
30.1,1432
30.2,1474
30.3,1163
30.4,979
30.5,1164
30.6,1168
30.7,1065
30.8,1261
30.9,1021
31.0,1036
31.1,1060
31.2,1343
31.3,1315
31.4,1167
31.5,1321
31.6,1336
31.7,1296
31.8,1541
31.9,1202
32.0,1050
32.1,1024
32.2,1185
32.3,1205
32.4,1297
32.5,1100
32.6,1085
32.7,1232
32.8,1060
32.9,1150
33.0,1062
33.1,966
33.2,1020
33.3,960
33.4,944
33.5,1002
33.6,994
33.7,1028
33.8,1095
33.9,1006
34.0,1054
34.1,1082
34.2,958
34.3,1044
34.4,952
34.5,957
34.6,971
34.7,941
34.8,951
34.9,912
35.0,868
35.1,750
35.2,847
35.3,928
35.4,915
35.5,853
35.6,818
35.7,817
35.8,800
35.9,836
36.0,841
36.1,896
36.2,866
36.3,772
36.4,841
36.5,903
36.6,760
36.7,843
36.8,818
36.9,858
37.0,832
37.1,746
37.2,761
37.3,754
37.4,788
