Value,Count
0.0,383
0.01,7164
0.02,70351
0.03,116454
0.04,139756
0.05,123225
0.06,124624
0.07,92986
0.08,72088
0.09,48022
0.1,36717
0.11,23754
0.12,14381
0.13,8728
0.14,5245
0.15,3636
0.16,2796
0.17,1972
0.18,1466
0.19,1089
0.2,868
0.21,658
0.22,531
0.23,494
0.24,549
0.25,595
0.26,396
0.27,275
0.28,244
0.29,198
0.3,190
0.31,144
0.32,123
0.33,132
0.34,102
0.35,130
0.36,215
0.37,151
0.38,72
0.39,90
0.4,68
0.41,59
0.42,56
0.43,52
0.44,36
0.45,49
0.46,38
0.47,35
0.48,37
0.49,20
0.5,14
0.51,22
0.52,16
0.53,13
0.54,10
0.55,11
0.56,8
0.57,6
0.58,5
0.59,6
0.6,1
0.61,5
0.62,4
0.63,4
0.69,2
0.7,1
0.81,1
