Value,Count
-1.46,1
-1.07,1
-0.9,1
-0.75,1
-0.71,1
-0.52,1
-0.16,1
-0.13,1
0.11,3
0.12,2
0.13,11
0.15,1
0.16,4
0.17,2
0.18,2
0.19,2
0.2,27
0.21,4
0.22,3
0.23,22
0.24,19
0.25,8
0.26,11
0.27,6
0.28,7
0.29,17
0.3,30
0.31,18
0.32,25
0.33,40
0.34,43
0.35,47
0.36,32
0.37,22
0.38,47
0.39,36
0.4,22
0.41,36
0.42,153
0.43,20
0.44,51
0.45,52
0.46,29
0.47,25
0.48,23
0.49,27
0.5,27
0.51,29
0.52,52
0.53,83
0.54,36
0.55,29
0.56,64
0.57,51
0.58,51
0.59,35
0.6,57
0.61,56
0.62,31
0.63,25
0.64,44
0.65,90
0.66,74
0.67,179
0.68,72
0.69,35
0.7,84
0.71,55
0.72,32
0.73,50
0.74,72
0.75,16
0.76,78
0.77,64
0.78,160
0.79,113
0.8,94
0.81,146
0.82,255
0.83,330
0.84,358
0.85,495
0.86,587
0.87,442
0.88,856
0.89,2331
0.9,1564
0.91,1166
0.92,1166
0.93,1131
0.94,1175
0.95,895
0.96,871
0.97,994
0.98,973
0.99,708
1.0,562
1.01,315
1.02,801
1.03,331
1.04,873
1.05,299
1.06,950
1.07,314
1.08,927
1.09,407
1.1,755
1.11,791
1.12,682
1.13,355
1.14,795
1.15,1030
1.16,510
1.17,1040
1.18,588
1.19,1692
1.2,730
1.21,1779
1.22,718
1.23,2050
1.24,1721
1.25,2497
1.26,727
1.27,2799
1.28,927
1.29,2397
1.3,813
1.31,2095
1.32,1004
1.33,2421
1.34,1149
1.35,1915
1.36,2289
1.37,935
1.38,1353
1.39,1386
1.4,2648
1.41,1702
1.42,2526
1.43,1093
1.44,2141
1.45,689
1.46,2892
1.47,719
1.48,1823
1.49,721
1.5,1929
1.51,667
1.52,1867
1.53,674
1.54,2009
1.55,805
1.56,2130
1.57,1202
1.58,1751
1.59,1334
1.6,1730
1.61,1622
1.62,1432
1.63,797
1.64,1641
1.65,1896
1.66,1438
1.67,1949
1.68,1218
1.69,2229
1.7,916
1.71,2135
1.72,793
1.73,2386
1.74,799
1.75,2369
1.76,937
1.77,2432
1.78,859
1.79,2219
1.8,736
1.81,1961
1.82,1073
1.83,1903
1.84,1431
1.85,1625
1.86,1510
1.87,761
1.88,1394
1.89,1490
1.9,1508
1.91,1339
1.92,1731
1.93,944
1.94,2110
1.95,850
1.96,1819
1.97,991
1.98,1735
1.99,1013
2.0,1510
2.01,972
2.02,1757
2.03,732
2.04,2038
2.05,1191
2.06,1315
2.07,671
2.08,1952
2.09,1381
2.1,1171
2.11,680
2.12,1862
2.13,1270
2.14,651
2.15,1374
2.16,1406
2.17,1868
2.18,627
2.19,1229
2.2,1332
2.21,1782
2.22,831
2.23,1495
2.24,1235
2.25,1988
2.26,1298
2.27,1613
2.28,1015
2.29,2410
2.3,1687
2.31,1975
2.32,841
2.33,2884
2.34,1712
2.35,1680
2.36,1050
2.37,1766
2.38,2431
2.39,989
2.4,1751
2.41,1635
2.42,2423
2.43,1121
2.44,1598
2.45,1469
2.46,2400
2.47,988
2.48,1444
2.49,1227
2.5,2115
2.51,1152
2.52,1629
2.53,1020
2.54,1870
2.55,1297
2.56,1371
2.57,672
2.58,2178
2.59,1439
2.6,1465
2.61,769
2.62,2415
2.63,1540
2.64,738
2.65,1424
2.66,1307
2.67,2035
2.68,787
2.69,1587
2.7,1514
2.71,2332
2.72,1162
2.73,1681
2.74,1221
2.75,2410
2.76,1316
2.77,1609
2.78,1260
2.79,2398
2.8,1732
2.81,1888
2.82,881
2.83,2452
2.84,1515
2.85,1575
2.86,843
2.87,1543
2.88,2308
2.89,812
2.9,1486
2.91,1698
2.92,2545
2.93,1059
2.94,1711
2.95,1500
2.96,2080
2.97,1061
2.98,1528
2.99,1187
3.0,2239
3.01,1058
3.02,1518
3.03,920
3.04,1770
3.05,1216
3.06,1342
3.07,611
3.08,1867
3.09,1215
3.1,1146
3.11,576
3.12,1548
3.13,1078
3.14,480
3.15,994
3.16,1009
3.17,1398
3.18,482
3.19,952
3.2,1073
3.21,1420
3.22,744
3.23,955
3.24,884
3.25,1375
3.26,791
3.27,1092
3.28,655
3.29,1436
3.3,1157
3.31,1124
3.32,493
3.33,1727
3.34,1098
3.35,1274
3.36,591
3.37,1199
3.38,2026
3.39,661
3.4,1342
3.41,1482
3.42,1889
3.43,535
3.44,1146
3.45,1152
3.46,1688
3.47,785
3.48,1243
3.49,1162
3.5,1964
3.51,917
3.52,1408
3.53,954
3.54,2004
3.55,1686
3.56,1570
3.57,796
3.58,2456
3.59,1687
3.6,1469
3.61,736
3.62,2254
3.63,1784
3.64,1385
3.65,1902
3.66,2115
3.67,2637
3.68,831
3.69,1848
3.7,1821
3.71,2849
3.72,1200
3.73,1915
3.74,1235
3.75,2428
3.76,1751
3.77,2179
3.78,1345
3.79,2626
3.8,2687
3.81,1892
3.82,1015
3.83,3143
3.84,1812
3.85,1836
3.86,1282
3.87,2493
3.88,4130
3.89,1021
3.9,1963
3.91,1565
3.92,2555
3.93,847
3.94,1597
3.95,1362
3.96,2456
3.97,941
3.98,1695
3.99,938
4.0,1837
4.01,884
4.02,889
4.03,1151
4.04,1609
4.05,986
4.06,1103
4.07,887
4.08,1394
4.09,697
4.1,982
4.11,1191
4.12,1943
4.13,1584
4.14,1508
4.15,1049
4.16,876
4.17,1490
4.18,880
4.19,1355
4.2,929
4.21,1591
4.22,1001
4.23,981
4.24,638
4.25,991
4.26,715
4.27,795
4.28,859
4.29,1346
4.3,904
4.31,1023
4.32,625
4.33,1014
4.34,644
4.35,599
4.36,877
4.37,913
4.38,1254
4.39,761
4.4,527
4.41,423
4.42,687
4.43,480
4.44,622
4.45,725
4.46,1083
4.47,633
4.48,699
4.49,413
4.5,902
4.51,391
4.52,584
4.53,628
4.54,1093
4.55,605
4.56,622
4.57,627
4.58,676
4.59,387
4.6,635
4.61,579
4.62,1015
4.63,709
4.64,702
4.65,754
4.66,357
4.67,754
4.68,618
4.69,707
4.7,650
4.71,877
4.72,624
4.73,640
4.74,458
4.75,577
4.76,469
4.77,574
4.78,586
4.79,770
4.8,477
4.81,519
4.82,361
4.83,498
4.84,287
4.85,370
4.86,471
4.87,420
4.88,595
4.89,398
4.9,374
4.91,297
4.92,500
4.93,359
4.94,481
4.95,470
4.96,950
4.97,411
4.98,375
4.99,288
5.0,512
5.01,327
5.02,420
5.03,447
5.04,607
5.05,487
5.06,413
5.07,415
5.08,665
5.09,616
5.1,427
5.11,620
5.12,857
5.13,423
5.14,415
5.15,333
5.16,389
5.17,515
5.18,378
5.19,353
5.2,449
5.21,662
5.22,444
5.23,411
5.24,283
5.25,956
5.26,241
5.27,327
5.28,312
5.29,548
5.3,288
5.31,267
5.32,328
5.33,364
5.34,186
5.35,298
5.36,318
5.37,505
5.38,467
